CONTRACT,TENURE,TECHSUPPORT,INTERNETSERVICE,ONLINESECURITY,DEVICEPROTECTION,MONTHLYCHARGES,PAYMENTMETHOD,STREAMINGMOVIES,ONLINEBACKUP,CHURN
Month-to-month,8,No,Fiber optic,No,Yes,94.0,Electronic check,No,Yes,1
Month-to-month,22,No,DSL,Yes,Yes,61.15,Mailed check,No,Yes,1
Month-to-month,1,No internet service,No,No internet service,No internet service,19.75,Mailed check,No internet service,No internet service,0
Month-to-month,40,Yes,DSL,Yes,No,64.1,Credit card (automatic),No,No,0
Two year,46,No internet service,No,No internet service,No internet service,19.75,Credit card (automatic),No internet service,No internet service,0
Two year,63,No internet service,No,No internet service,No internet service,19.7,Mailed check,No internet service,No internet service,0
Two year,68,No,Fiber optic,Yes,Yes,110.2,Electronic check,Yes,Yes,0
Two year,69,Yes,Fiber optic,Yes,No,106.35,Credit card (automatic),Yes,Yes,0
Month-to-month,56,Yes,Fiber optic,No,Yes,90.55,Electronic check,No,Yes,0
One year,10,No,DSL,No,Yes,65.9,Mailed check,Yes,Yes,0
One year,63,Yes,Fiber optic,Yes,Yes,104.5,Credit card (automatic),No,Yes,0
Two year,24,Yes,DSL,Yes,Yes,52.5,Mailed check,Yes,Yes,0
Month-to-month,19,No,DSL,No,Yes,56.1,Mailed check,No,No,0
Month-to-month,22,No,Fiber optic,No,Yes,88.75,Electronic check,No,No,0
Month-to-month,29,No,Fiber optic,Yes,No,84.45,Electronic check,No,Yes,1
One year,13,No,DSL,No,Yes,75.3,Mailed check,Yes,No,1
Two year,70,No internet service,No,No internet service,No internet service,26.0,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,49,No,Fiber optic,No,Yes,99.4,Electronic check,Yes,Yes,0
One year,43,Yes,Fiber optic,Yes,Yes,109.55,Mailed check,Yes,No,1
Month-to-month,3,No internet service,No,No internet service,No internet service,19.6,Mailed check,No internet service,No internet service,1
One year,42,Yes,DSL,No,Yes,73.15,Electronic check,Yes,No,0
One year,57,Yes,DSL,No,No,54.65,Mailed check,No,Yes,0
Month-to-month,2,No,DSL,Yes,Yes,66.4,Bank transfer (automatic),No,No,1
Two year,72,Yes,Fiber optic,Yes,Yes,115.55,Credit card (automatic),Yes,Yes,0
Month-to-month,46,No,Fiber optic,No,Yes,104.45,Electronic check,Yes,Yes,0
Month-to-month,66,Yes,Fiber optic,No,No,100.05,Credit card (automatic),Yes,No,1
One year,62,Yes,Fiber optic,Yes,No,102.0,Electronic check,Yes,Yes,1
Two year,72,Yes,DSL,Yes,Yes,91.15,Bank transfer (automatic),Yes,Yes,0
One year,35,Yes,Fiber optic,No,No,89.7,Electronic check,No,Yes,0
Month-to-month,17,No,Fiber optic,Yes,Yes,90.2,Credit card (automatic),No,Yes,1
Two year,72,Yes,DSL,Yes,Yes,92.4,Electronic check,Yes,Yes,0
One year,28,No internet service,No,No internet service,No internet service,19.9,Mailed check,No internet service,No internet service,0
Two year,56,No internet service,No,No internet service,No internet service,25.15,Credit card (automatic),No internet service,No internet service,1
Month-to-month,31,Yes,Fiber optic,No,No,79.85,Credit card (automatic),No,No,1
One year,45,No internet service,No,No internet service,No internet service,18.85,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,1,No internet service,No,No internet service,No internet service,25.75,Mailed check,No internet service,No internet service,0
Month-to-month,2,No,DSL,No,No,49.6,Mailed check,No,Yes,1
Month-to-month,6,No internet service,No,No internet service,No internet service,20.95,Mailed check,No internet service,No internet service,0
One year,48,No,Fiber optic,No,Yes,97.05,Electronic check,Yes,Yes,0
Month-to-month,25,No internet service,No,No internet service,No internet service,25.4,Bank transfer (automatic),No internet service,No internet service,0
Two year,64,No internet service,No,No internet service,No internet service,19.7,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,50,No,DSL,Yes,No,35.0,Mailed check,No,Yes,0
One year,52,No,Fiber optic,No,Yes,101.25,Bank transfer (automatic),Yes,No,0
Month-to-month,4,No,Fiber optic,No,No,70.2,Electronic check,No,No,0
Month-to-month,32,No,Fiber optic,No,No,90.95,Electronic check,Yes,No,0
Two year,45,Yes,DSL,Yes,No,73.85,Credit card (automatic),No,Yes,0
Month-to-month,9,No,Fiber optic,Yes,No,88.05,Electronic check,Yes,No,0
One year,66,Yes,Fiber optic,No,Yes,105.95,Credit card (automatic),Yes,No,1
Month-to-month,3,No,Fiber optic,No,Yes,91.85,Electronic check,Yes,No,1
Two year,54,No internet service,No,No internet service,No internet service,20.1,Mailed check,No internet service,No internet service,0
Month-to-month,1,Yes,DSL,No,No,40.1,Electronic check,No,No,1
Two year,64,Yes,Fiber optic,Yes,No,110.3,Bank transfer (automatic),Yes,Yes,0
Month-to-month,31,No,Fiber optic,No,No,73.9,Electronic check,No,No,1
Month-to-month,14,No,Fiber optic,No,No,89.8,Mailed check,Yes,No,1
One year,12,No,Fiber optic,Yes,No,85.15,Credit card (automatic),No,No,0
One year,67,Yes,DSL,Yes,No,60.95,Bank transfer (automatic),No,Yes,0
Month-to-month,35,Yes,DSL,Yes,Yes,72.25,Electronic check,No,No,1
Two year,45,Yes,DSL,Yes,No,73.55,Mailed check,Yes,No,0
Month-to-month,10,No,DSL,No,No,46.0,Mailed check,No,No,0
Month-to-month,29,No,DSL,Yes,No,58.55,Bank transfer (automatic),No,Yes,0
One year,24,No internet service,No,No internet service,No internet service,24.6,Bank transfer (automatic),No internet service,No internet service,0
Two year,66,No internet service,No,No internet service,No internet service,19.75,Mailed check,No internet service,No internet service,0
One year,51,No,Fiber optic,Yes,No,86.35,Mailed check,No,No,0
Two year,45,No internet service,No,No internet service,No internet service,25.5,Mailed check,No internet service,No internet service,0
One year,49,No internet service,No,No internet service,No internet service,19.0,Credit card (automatic),No internet service,No internet service,0
Two year,29,No internet service,No,No internet service,No internet service,19.55,Mailed check,No internet service,No internet service,0
Month-to-month,40,Yes,Fiber optic,Yes,No,110.1,Credit card (automatic),Yes,Yes,0
Month-to-month,37,No,Fiber optic,No,No,96.55,Electronic check,Yes,No,1
Month-to-month,25,No,Fiber optic,No,No,69.75,Electronic check,No,No,0
Month-to-month,22,No,DSL,No,Yes,50.6,Electronic check,Yes,No,0
Two year,72,Yes,DSL,Yes,Yes,65.6,Bank transfer (automatic),Yes,Yes,0
Month-to-month,7,No,DSL,No,No,40.1,Credit card (automatic),Yes,Yes,1
Two year,33,Yes,DSL,No,Yes,82.1,Credit card (automatic),Yes,Yes,0
Month-to-month,23,Yes,Fiber optic,No,No,79.1,Mailed check,No,Yes,0
Month-to-month,24,No,Fiber optic,No,No,101.25,Electronic check,Yes,Yes,1
Month-to-month,1,No,Fiber optic,No,No,79.55,Electronic check,No,No,1
Two year,69,Yes,DSL,Yes,Yes,90.65,Mailed check,Yes,Yes,0
One year,3,No internet service,No,No internet service,No internet service,20.55,Credit card (automatic),No internet service,No internet service,0
One year,56,Yes,DSL,No,No,75.75,Bank transfer (automatic),Yes,Yes,0
One year,65,Yes,Fiber optic,Yes,Yes,110.0,Credit card (automatic),Yes,No,0
One year,71,No internet service,No,No internet service,No internet service,20.85,Electronic check,No internet service,No internet service,0
Month-to-month,14,No,Fiber optic,No,Yes,80.35,Bank transfer (automatic),No,No,0
Month-to-month,2,No,Fiber optic,No,No,70.15,Electronic check,No,No,0
One year,32,No,Fiber optic,No,No,84.05,Electronic check,No,No,1
Month-to-month,40,No,DSL,Yes,Yes,67.45,Electronic check,Yes,No,0
Month-to-month,1,No internet service,No,No internet service,No internet service,20.75,Credit card (automatic),No internet service,No internet service,0
Month-to-month,1,No,Fiber optic,No,No,89.1,Electronic check,Yes,No,1
Month-to-month,7,No,Fiber optic,No,No,69.9,Mailed check,No,No,0
Month-to-month,15,No,DSL,No,No,51.1,Electronic check,No,No,0
Month-to-month,17,No,Fiber optic,Yes,Yes,94.4,Electronic check,No,No,1
Month-to-month,19,No,Fiber optic,No,Yes,78.25,Electronic check,No,Yes,1
Two year,71,No internet service,No,No internet service,No internet service,25.55,Bank transfer (automatic),No internet service,No internet service,0
Two year,54,Yes,DSL,Yes,No,60.0,Bank transfer (automatic),No,No,0
Month-to-month,31,Yes,Fiber optic,Yes,No,90.55,Credit card (automatic),No,Yes,0
Month-to-month,11,No,Fiber optic,Yes,No,76.4,Electronic check,No,No,0
Month-to-month,18,No,Fiber optic,No,Yes,84.95,Electronic check,Yes,No,0
Two year,72,Yes,Fiber optic,Yes,No,110.1,Bank transfer (automatic),Yes,Yes,0
Month-to-month,71,No,Fiber optic,No,No,99.65,Credit card (automatic),Yes,Yes,0
Month-to-month,5,Yes,DSL,No,Yes,45.4,Credit card (automatic),No,No,0
One year,38,Yes,DSL,No,Yes,69.0,Credit card (automatic),Yes,No,0
Month-to-month,5,Yes,DSL,No,No,48.65,Bank transfer (automatic),No,No,0
Month-to-month,2,No,DSL,No,No,44.15,Electronic check,No,No,1
Two year,52,No,DSL,Yes,Yes,59.85,Bank transfer (automatic),No,No,0
Month-to-month,8,No,Fiber optic,No,No,75.75,Electronic check,No,No,1
Two year,68,No,DSL,No,Yes,80.65,Electronic check,Yes,Yes,0
One year,69,No internet service,No,No internet service,No internet service,20.55,Credit card (automatic),No internet service,No internet service,0
Month-to-month,42,Yes,DSL,Yes,No,66.4,Credit card (automatic),No,Yes,0
Two year,50,Yes,Fiber optic,No,No,100.2,Mailed check,Yes,Yes,0
Month-to-month,1,No internet service,No,No internet service,No internet service,19.1,Mailed check,No internet service,No internet service,1
Month-to-month,1,No,Fiber optic,Yes,No,80.3,Electronic check,No,No,1
Month-to-month,33,No,DSL,No,No,44.55,Credit card (automatic),No,No,0
Month-to-month,7,No internet service,No,No internet service,No internet service,20.35,Mailed check,No internet service,No internet service,0
Month-to-month,64,No,Fiber optic,Yes,Yes,91.8,Electronic check,No,Yes,0
Month-to-month,1,No,Fiber optic,No,Yes,74.9,Electronic check,No,No,1
Two year,59,No internet service,No,No internet service,No internet service,20.2,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,6,No,DSL,No,No,50.35,Electronic check,No,No,0
Month-to-month,3,No internet service,No,No internet service,No internet service,18.8,Mailed check,No internet service,No internet service,0
Month-to-month,15,No internet service,No,No internet service,No internet service,20.45,Credit card (automatic),No internet service,No internet service,0
One year,13,No,DSL,No,No,64.75,Electronic check,Yes,No,0
Month-to-month,23,No,Fiber optic,No,No,98.7,Credit card (automatic),Yes,Yes,0
Month-to-month,31,No,Fiber optic,Yes,No,89.45,Electronic check,No,No,0
One year,29,Yes,DSL,Yes,No,58.75,Electronic check,No,Yes,0
One year,49,No internet service,No,No internet service,No internet service,20.7,Credit card (automatic),No internet service,No internet service,0
Month-to-month,56,No,Fiber optic,No,No,85.6,Bank transfer (automatic),No,No,0
Two year,63,Yes,DSL,Yes,Yes,80.3,Credit card (automatic),Yes,Yes,0
Two year,63,Yes,DSL,No,Yes,79.8,Credit card (automatic),Yes,No,0
Month-to-month,24,No,Fiber optic,Yes,No,79.85,Electronic check,No,No,0
One year,36,Yes,DSL,No,Yes,54.1,Credit card (automatic),No,No,0
Month-to-month,9,No,Fiber optic,No,No,80.85,Electronic check,No,No,1
Month-to-month,3,No,DSL,No,No,24.75,Electronic check,No,No,1
One year,21,Yes,DSL,Yes,Yes,80.9,Mailed check,Yes,No,0
One year,13,No internet service,No,No internet service,No internet service,24.5,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,1,No internet service,No,No internet service,No internet service,20.15,Bank transfer (automatic),No internet service,No internet service,0
One year,25,No internet service,No,No internet service,No internet service,20.05,Mailed check,No internet service,No internet service,0
Two year,71,No internet service,No,No internet service,No internet service,19.6,Bank transfer (automatic),No internet service,No internet service,0
One year,66,Yes,Fiber optic,Yes,Yes,114.3,Bank transfer (automatic),Yes,Yes,0
One year,45,No,Fiber optic,Yes,No,100.3,Electronic check,Yes,Yes,0
Month-to-month,22,No,Fiber optic,No,No,80.0,Credit card (automatic),No,No,0
One year,67,No internet service,No,No internet service,No internet service,20.85,Bank transfer (automatic),No internet service,No internet service,0
Two year,68,No,Fiber optic,No,Yes,89.95,Bank transfer (automatic),No,No,0
Month-to-month,49,No,Fiber optic,No,Yes,90.85,Credit card (automatic),Yes,No,1
Month-to-month,4,No,DSL,No,No,48.75,Mailed check,No,No,0
One year,63,Yes,DSL,Yes,Yes,80.0,Credit card (automatic),Yes,Yes,0
Month-to-month,2,No,Fiber optic,No,Yes,79.7,Bank transfer (automatic),No,Yes,1
One year,21,No internet service,No,No internet service,No internet service,20.35,Mailed check,No internet service,No internet service,0
Two year,55,Yes,DSL,Yes,No,57.55,Bank transfer (automatic),No,Yes,1
Month-to-month,1,No internet service,No,No internet service,No internet service,20.25,Mailed check,No internet service,No internet service,0
Two year,17,No internet service,No,No internet service,No internet service,19.4,Mailed check,No internet service,No internet service,0
Month-to-month,30,No,Fiber optic,Yes,No,100.4,Bank transfer (automatic),Yes,No,0
Month-to-month,22,Yes,DSL,Yes,No,57.95,Mailed check,No,Yes,0
Month-to-month,9,Yes,DSL,No,No,59.5,Bank transfer (automatic),No,No,0
Month-to-month,1,No internet service,No,No internet service,No internet service,19.2,Mailed check,No internet service,No internet service,0
Month-to-month,21,No,Fiber optic,No,No,86.5,Electronic check,Yes,No,1
Month-to-month,19,Yes,DSL,No,Yes,59.55,Electronic check,No,No,0
Month-to-month,69,No,Fiber optic,No,Yes,103.95,Electronic check,Yes,Yes,1
Month-to-month,1,No,DSL,No,No,25.1,Electronic check,No,No,1
Two year,72,Yes,Fiber optic,Yes,Yes,103.95,Bank transfer (automatic),No,Yes,0
Two year,70,No,DSL,Yes,Yes,68.95,Credit card (automatic),No,No,0
Month-to-month,66,Yes,Fiber optic,Yes,Yes,103.1,Bank transfer (automatic),Yes,Yes,0
Month-to-month,7,No,DSL,No,No,24.7,Electronic check,No,No,0
Month-to-month,46,Yes,Fiber optic,Yes,No,110.2,Electronic check,Yes,Yes,0
Month-to-month,39,Yes,DSL,Yes,No,48.95,Credit card (automatic),No,Yes,1
Month-to-month,32,No,DSL,No,Yes,62.45,Bank transfer (automatic),No,Yes,0
Month-to-month,24,No,Fiber optic,No,Yes,89.55,Electronic check,Yes,Yes,0
Month-to-month,6,No,Fiber optic,No,No,83.55,Credit card (automatic),Yes,Yes,1
Month-to-month,37,Yes,DSL,Yes,Yes,78.9,Credit card (automatic),No,Yes,0
Month-to-month,8,No internet service,No,No internet service,No internet service,20.35,Mailed check,No internet service,No internet service,0
Two year,72,No,DSL,Yes,Yes,71.45,Bank transfer (automatic),No,No,0
Two year,71,Yes,DSL,Yes,Yes,46.35,Credit card (automatic),No,Yes,0
Month-to-month,16,No,Fiber optic,No,No,94.65,Bank transfer (automatic),Yes,Yes,0
Month-to-month,57,Yes,DSL,Yes,Yes,49.9,Bank transfer (automatic),Yes,No,0
One year,66,No internet service,No,No internet service,No internet service,25.45,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,17,No,Fiber optic,No,Yes,89.15,Electronic check,No,Yes,1
Month-to-month,21,No internet service,No,No internet service,No internet service,20.75,Mailed check,No internet service,No internet service,0
Two year,66,No,DSL,Yes,Yes,66.1,Credit card (automatic),No,Yes,0
Month-to-month,17,No,DSL,No,No,75.4,Bank transfer (automatic),Yes,Yes,0
Month-to-month,1,No,Fiber optic,No,No,70.45,Mailed check,No,No,1
One year,58,No,DSL,Yes,Yes,60.3,Credit card (automatic),No,Yes,1
Month-to-month,8,No internet service,No,No internet service,No internet service,21.05,Credit card (automatic),No internet service,No internet service,0
One year,27,Yes,DSL,Yes,Yes,69.35,Credit card (automatic),No,No,0
Month-to-month,34,No,Fiber optic,No,No,88.85,Mailed check,Yes,Yes,0
One year,30,No,Fiber optic,No,No,97.0,Bank transfer (automatic),Yes,Yes,0
Month-to-month,33,No,DSL,No,Yes,66.4,Credit card (automatic),No,Yes,0
Month-to-month,1,No,DSL,No,No,24.75,Electronic check,No,No,1
Month-to-month,14,No,DSL,Yes,No,69.2,Mailed check,Yes,Yes,0
One year,16,Yes,Fiber optic,No,No,79.5,Credit card (automatic),No,No,0
Two year,49,Yes,Fiber optic,No,Yes,100.65,Credit card (automatic),Yes,No,0
Month-to-month,19,Yes,Fiber optic,No,Yes,103.3,Electronic check,Yes,No,1
Two year,70,Yes,DSL,Yes,Yes,79.7,Bank transfer (automatic),No,Yes,0
Month-to-month,32,Yes,DSL,Yes,No,61.4,Bank transfer (automatic),No,Yes,0
Month-to-month,18,No,Fiber optic,No,No,69.8,Electronic check,No,No,0
Two year,37,Yes,DSL,Yes,No,40.55,Mailed check,No,Yes,0
Month-to-month,4,No,Fiber optic,No,No,75.65,Electronic check,No,No,0
Month-to-month,16,No,Fiber optic,Yes,Yes,90.7,Electronic check,No,Yes,0
Month-to-month,17,No,Fiber optic,No,No,80.5,Bank transfer (automatic),No,Yes,0
Month-to-month,19,No,DSL,Yes,Yes,60.6,Electronic check,No,Yes,0
Two year,60,No,Fiber optic,No,Yes,101.15,Credit card (automatic),Yes,No,0
Two year,51,No internet service,No,No internet service,No internet service,24.95,Mailed check,No internet service,No internet service,0
Two year,28,No internet service,No,No internet service,No internet service,20.3,Credit card (automatic),No internet service,No internet service,0
Two year,43,No,DSL,No,No,60.0,Electronic check,Yes,Yes,0
Two year,42,No internet service,No,No internet service,No internet service,20.25,Electronic check,No internet service,No internet service,0
Month-to-month,3,No,Fiber optic,No,No,78.5,Electronic check,No,No,1
Month-to-month,1,No,DSL,No,No,44.75,Mailed check,No,No,0
Month-to-month,3,No internet service,No,No internet service,No internet service,19.85,Mailed check,No internet service,No internet service,1
Two year,63,No,Fiber optic,Yes,Yes,98.0,Credit card (automatic),No,Yes,0
Month-to-month,3,No,Fiber optic,No,No,79.9,Electronic check,No,No,1
Month-to-month,68,Yes,Fiber optic,Yes,No,107.7,Electronic check,Yes,Yes,0
Month-to-month,30,No,Fiber optic,No,No,99.7,Electronic check,Yes,Yes,1
Two year,60,No,Fiber optic,No,Yes,104.7,Electronic check,Yes,Yes,0
Month-to-month,15,Yes,DSL,No,No,58.6,Credit card (automatic),No,Yes,1
Month-to-month,45,No,Fiber optic,No,No,93.9,Bank transfer (automatic),Yes,No,0
Two year,70,Yes,DSL,Yes,Yes,86.45,Credit card (automatic),Yes,Yes,0
Month-to-month,10,No,Fiber optic,No,Yes,98.5,Electronic check,Yes,No,1
Month-to-month,4,No internet service,No,No internet service,No internet service,19.4,Mailed check,No internet service,No internet service,0
Month-to-month,1,No,DSL,No,Yes,50.45,Mailed check,No,No,1
Two year,68,No internet service,No,No internet service,No internet service,24.95,Credit card (automatic),No internet service,No internet service,0
Month-to-month,22,No,Fiber optic,Yes,No,75.0,Bank transfer (automatic),No,No,0
Month-to-month,38,No,Fiber optic,No,Yes,94.65,Electronic check,No,Yes,1
Month-to-month,1,No,Fiber optic,No,No,100.25,Credit card (automatic),Yes,Yes,1
Month-to-month,18,Yes,Fiber optic,No,Yes,78.2,Electronic check,No,No,0
Month-to-month,29,Yes,Fiber optic,No,No,94.2,Electronic check,Yes,No,0
Month-to-month,16,No,Fiber optic,No,Yes,88.45,Electronic check,Yes,No,1
Month-to-month,1,No,Fiber optic,No,No,69.85,Electronic check,No,No,1
Month-to-month,12,No,Fiber optic,Yes,Yes,81.7,Bank transfer (automatic),No,No,1
One year,31,No,DSL,No,Yes,50.05,Electronic check,Yes,No,0
Month-to-month,4,No,Fiber optic,No,No,79.9,Electronic check,Yes,No,1
One year,48,Yes,DSL,No,Yes,69.55,Mailed check,Yes,No,0
Month-to-month,15,No internet service,No,No internet service,No internet service,25.4,Credit card (automatic),No internet service,No internet service,1
One year,50,Yes,Fiber optic,Yes,Yes,90.1,Credit card (automatic),No,Yes,0
Month-to-month,7,No,DSL,No,No,44.65,Bank transfer (automatic),No,No,0
Month-to-month,41,No,Fiber optic,Yes,Yes,83.75,Bank transfer (automatic),No,No,1
Two year,68,No,Fiber optic,Yes,Yes,80.35,Credit card (automatic),No,No,0
Month-to-month,26,No,Fiber optic,No,Yes,98.1,Bank transfer (automatic),Yes,No,0
Two year,57,Yes,DSL,No,Yes,53.35,Credit card (automatic),Yes,No,0
Month-to-month,3,No internet service,No,No internet service,No internet service,19.55,Electronic check,No internet service,No internet service,0
Month-to-month,1,No internet service,No,No internet service,No internet service,20.9,Mailed check,No internet service,No internet service,1
One year,19,No,DSL,Yes,No,48.95,Bank transfer (automatic),No,No,0
Month-to-month,3,No,DSL,No,No,54.2,Electronic check,No,No,0
Two year,59,No internet service,No,No internet service,No internet service,24.45,Electronic check,No internet service,No internet service,0
Month-to-month,1,No,Fiber optic,No,No,69.4,Mailed check,No,No,1
Month-to-month,42,No,DSL,Yes,No,40.15,Bank transfer (automatic),No,No,0
Month-to-month,7,No,Fiber optic,No,No,74.9,Electronic check,No,No,1
Two year,67,No internet service,No,No internet service,No internet service,25.6,Credit card (automatic),No internet service,No internet service,0
Month-to-month,1,No,Fiber optic,No,No,70.35,Electronic check,No,No,0
Two year,66,Yes,DSL,Yes,Yes,91.7,Bank transfer (automatic),Yes,Yes,0
Month-to-month,61,No,Fiber optic,No,Yes,89.2,Mailed check,Yes,No,0
One year,4,No internet service,No,No internet service,No internet service,24.1,Credit card (automatic),No internet service,No internet service,0
Month-to-month,42,No,Fiber optic,Yes,No,74.15,Credit card (automatic),No,No,1
One year,64,No,DSL,No,No,53.85,Bank transfer (automatic),No,Yes,0
One year,54,Yes,Fiber optic,Yes,Yes,115.6,Bank transfer (automatic),Yes,Yes,0
Month-to-month,1,No internet service,No,No internet service,No internet service,19.75,Credit card (automatic),No internet service,No internet service,0
Two year,54,No internet service,No,No internet service,No internet service,24.05,Bank transfer (automatic),No internet service,No internet service,0
Two year,18,No internet service,No,No internet service,No internet service,25.3,Credit card (automatic),No internet service,No internet service,0
Month-to-month,3,No,Fiber optic,No,No,84.3,Electronic check,Yes,Yes,0
Month-to-month,1,No,Fiber optic,No,No,70.1,Electronic check,No,No,1
Two year,72,Yes,DSL,Yes,Yes,89.75,Credit card (automatic),Yes,Yes,0
One year,60,No,Fiber optic,No,Yes,97.95,Electronic check,Yes,Yes,0
One year,11,No internet service,No,No internet service,No internet service,20.0,Mailed check,No internet service,No internet service,0
Month-to-month,12,No,Fiber optic,Yes,No,78.3,Electronic check,No,No,1
One year,61,Yes,Fiber optic,No,Yes,103.9,Credit card (automatic),Yes,Yes,0
Two year,39,No internet service,No,No internet service,No internet service,20.7,Credit card (automatic),No internet service,No internet service,0
Month-to-month,55,No,Fiber optic,No,No,96.8,Electronic check,Yes,No,1
Month-to-month,17,No,Fiber optic,Yes,No,94.4,Electronic check,No,Yes,1
One year,37,No internet service,No,No internet service,No internet service,20.15,Credit card (automatic),No internet service,No internet service,0
Two year,72,No internet service,No,No internet service,No internet service,26.0,Mailed check,No internet service,No internet service,0
Two year,72,Yes,DSL,No,Yes,77.35,Credit card (automatic),No,Yes,0
Month-to-month,8,Yes,DSL,Yes,No,66.05,Bank transfer (automatic),Yes,No,0
Month-to-month,22,No internet service,No,No internet service,No internet service,19.9,Mailed check,No internet service,No internet service,0
Month-to-month,1,No,Fiber optic,No,No,84.3,Electronic check,No,Yes,1
Month-to-month,38,Yes,DSL,No,No,68.15,Credit card (automatic),Yes,Yes,0
One year,17,Yes,DSL,No,Yes,80.85,Electronic check,Yes,Yes,0
Two year,70,Yes,DSL,No,Yes,75.5,Bank transfer (automatic),No,Yes,0
Two year,72,Yes,DSL,Yes,Yes,92.45,Credit card (automatic),Yes,Yes,1
Month-to-month,28,No,Fiber optic,No,No,80.6,Electronic check,Yes,No,0
Month-to-month,15,No,Fiber optic,No,No,83.2,Bank transfer (automatic),No,Yes,0
Two year,72,Yes,DSL,Yes,Yes,87.55,Bank transfer (automatic),Yes,Yes,0
Month-to-month,11,No,Fiber optic,No,Yes,99.55,Electronic check,Yes,No,1
Month-to-month,8,No,Fiber optic,No,Yes,81.25,Electronic check,No,No,1
One year,57,Yes,Fiber optic,No,Yes,109.4,Bank transfer (automatic),Yes,Yes,0
Month-to-month,1,No internet service,No,No internet service,No internet service,19.95,Bank transfer (automatic),No internet service,No internet service,1
Month-to-month,46,No,DSL,Yes,No,45.55,Electronic check,No,Yes,0
One year,30,No internet service,No,No internet service,No internet service,20.7,Credit card (automatic),No internet service,No internet service,0
Month-to-month,10,No,Fiber optic,Yes,No,75.3,Electronic check,No,No,0
Month-to-month,23,No,Fiber optic,Yes,Yes,99.25,Electronic check,No,Yes,1
Month-to-month,32,No,Fiber optic,Yes,Yes,93.4,Credit card (automatic),Yes,Yes,0
Month-to-month,13,No,Fiber optic,Yes,No,73.75,Credit card (automatic),No,No,0
Two year,39,Yes,Fiber optic,No,Yes,80.45,Electronic check,No,No,1
Month-to-month,44,No,Fiber optic,No,Yes,88.15,Credit card (automatic),No,Yes,0
Month-to-month,9,Yes,DSL,No,No,49.2,Mailed check,No,No,0
Two year,67,No internet service,No,No internet service,No internet service,19.65,Mailed check,No internet service,No internet service,0
Month-to-month,9,No,Fiber optic,No,Yes,79.35,Bank transfer (automatic),No,No,1
Month-to-month,15,No,Fiber optic,No,No,79.75,Electronic check,No,Yes,1
Two year,71,No,Fiber optic,No,Yes,105.15,Bank transfer (automatic),Yes,Yes,0
Month-to-month,1,Yes,DSL,No,No,49.0,Credit card (automatic),No,No,0
Month-to-month,30,No,Fiber optic,No,Yes,100.05,Electronic check,Yes,No,1
Month-to-month,1,No,Fiber optic,No,No,69.35,Electronic check,No,No,1
Month-to-month,17,No,DSL,No,No,49.8,Mailed check,Yes,Yes,0
Month-to-month,3,Yes,Fiber optic,No,No,85.8,Electronic check,Yes,No,1
Two year,67,No,DSL,Yes,Yes,79.7,Electronic check,Yes,No,1
Month-to-month,1,No internet service,No,No internet service,No internet service,20.95,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,1,No,DSL,No,No,50.55,Mailed check,No,No,1
Month-to-month,32,No,Fiber optic,No,Yes,79.3,Mailed check,No,No,0
One year,41,No internet service,No,No internet service,No internet service,19.5,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,1,No,Fiber optic,No,No,80.55,Electronic check,No,No,1
Month-to-month,1,No,DSL,No,No,44.15,Bank transfer (automatic),No,No,0
Month-to-month,12,No,Fiber optic,No,Yes,84.5,Electronic check,No,Yes,1
Month-to-month,62,No,Fiber optic,Yes,No,105.5,Electronic check,Yes,Yes,0
Month-to-month,22,No,Fiber optic,No,No,84.3,Mailed check,Yes,Yes,1
Month-to-month,17,Yes,Fiber optic,No,Yes,92.7,Credit card (automatic),No,Yes,0
Two year,72,No internet service,No,No internet service,No internet service,26.25,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,56,Yes,Fiber optic,No,No,96.95,Credit card (automatic),No,Yes,0
Month-to-month,9,No internet service,No,No internet service,No internet service,20.45,Credit card (automatic),No internet service,No internet service,0
Two year,72,Yes,Fiber optic,Yes,Yes,115.8,Bank transfer (automatic),Yes,Yes,0
Month-to-month,20,Yes,Fiber optic,Yes,Yes,108.2,Bank transfer (automatic),Yes,Yes,0
Two year,19,No internet service,No,No internet service,No internet service,20.2,Mailed check,No internet service,No internet service,0
Month-to-month,2,No,Fiber optic,No,No,67.75,Electronic check,No,No,1
One year,53,Yes,DSL,No,Yes,54.9,Credit card (automatic),Yes,No,0
Month-to-month,27,No,Fiber optic,No,No,85.25,Electronic check,Yes,No,1
Month-to-month,6,No internet service,No,No internet service,No internet service,20.15,Bank transfer (automatic),No internet service,No internet service,0
One year,9,No,Fiber optic,No,Yes,90.35,Electronic check,No,No,0
Month-to-month,8,No,DSL,No,No,55.75,Electronic check,No,Yes,0
Two year,71,Yes,Fiber optic,Yes,Yes,114.6,Bank transfer (automatic),Yes,Yes,0
Month-to-month,10,No,Fiber optic,No,No,80.05,Bank transfer (automatic),No,Yes,1
